Top_Games_Difference,Top_Winrate_Difference,Top_KDA_Difference,Top_AVG_Kills_Difference,Top_AVG_Deaths_Difference,Top_AVG_Assists_Difference,Top_CSM_Difference,Top_GPM_Difference,Top_KP_Difference,Top_DMG%_Difference,Top_DPM_Difference,Top_GOLD_DIFF_15_Difference,Jg_Games_Difference,Jg_Winrate_Difference,Jg_KDA_Difference,Jg_AVG_Kills_Difference,Jg_AVG_Deaths_Difference,Jg_AVG_Assists_Difference,Jg_CSM_Difference,Jg_GPM_Difference,Jg_KP_Difference,Jg_DMG%_Difference,Jg_DPM_Difference,Jg_GOLD_DIFF_15_Difference,Mid_Games_Difference,Mid_Winrate_Difference,Mid_KDA_Difference,Mid_AVG_Kills_Difference,Mid_AVG_Deaths_Difference,Mid_AVG_Assists_Difference,Mid_CSM_Difference,Mid_GPM_Difference,Mid_KP_Difference,Mid_DMG%_Difference,Mid_DPM_Difference,Mid_GOLD_DIFF_15_Difference,Adc_Games_Difference,Adc_Winrate_Difference,Adc_KDA_Difference,Adc_AVG_Kills_Difference,Adc_AVG_Deaths_Difference,Adc_AVG_Assists_Difference,Adc_CSM_Difference,Adc_GPM_Difference,Adc_KP_Difference,Adc_DMG%_Difference,Adc_DPM_Difference,Adc_GOLD_DIFF_15_Difference,Support_Games_Difference,Support_Winrate_Difference,Support_KDA_Difference,Support_AVG_Kills_Difference,Support_AVG_Deaths_Difference,Support_AVG_Assists_Difference,Support_Vision_Per_Min_Difference,Top_Champ_KDA_Difference,Top_Champ_CS_Per_Min_Difference,Top_Champ_Damage_Per_Min_Difference,Top_Champ_Gold_Per_Min_Difference,Top_Champ_CS_Diff_At_15_Difference,Top_Champ_XP_Diff_At_15_Difference,Top_Champ_Gold_Diff_At_15_Difference,TopComfortabilityDifference,Jg_Champ_KDA_Difference,Jg_Champ_CS_Per_Min_Difference,Jg_Champ_Damage_Per_Min_Difference,Jg_Champ_Gold_Per_Min_Difference,Jg_Champ_CS_Diff_At_15_Difference,Jg_Champ_XP_Diff_At_15_Difference,Jg_Champ_Gold_Diff_At_15_Difference,JgComfortabilityDifference,Mid_Champ_KDA_Difference,Mid_Champ_CS_Per_Min_Difference,Mid_Champ_Damage_Per_Min_Difference,Mid_Champ_Gold_Per_Min_Difference,Mid_Champ_CS_Diff_At_15_Difference,Mid_Champ_XP_Diff_At_15_Difference,Mid_Champ_Gold_Diff_At_15_Difference,MidComfortabilityDifference,Adc_Champ_KDA_Difference,Adc_Champ_CS_Per_Min_Difference,Adc_Champ_Damage_Per_Min_Difference,Adc_Champ_Gold_Per_Min_Difference,Adc_Champ_CS_Diff_At_15_Difference,Adc_Champ_XP_Diff_At_15_Difference,Adc_Champ_Gold_Diff_At_15_Difference,AdcComfortabilityDifference,Support_Champ_KDA_Difference,Support_Champ_CS_Per_Min_Difference,Support_Champ_Damage_Per_Min_Difference,Support_Champ_Gold_Per_Min_Difference,Support_Champ_CS_Diff_At_15_Difference,Support_Champ_XP_Diff_At_15_Difference,Support_Champ_Gold_Diff_At_15_Difference,SupportComfortabilityDiffernce,GAME_RESULT
9.0,-9.399999999999999,-0.09999999999999964,0.30000000000000027,0.0,-0.3999999999999999,0.5,19.0,10.200000000000003,0.3000000000000007,39.0,529.0,-8.0,-9.299999999999997,-0.40000000000000036,-0.5,-0.10000000000000009,-0.6999999999999993,0.0,-7.0,3.4000000000000057,0.3999999999999986,14.0,192.0,-8.0,-9.299999999999997,-0.5,-0.6000000000000001,0.0,-0.40000000000000036,-0.40000000000000036,-11.0,1.3999999999999986,1.0,43.0,-90.0,43.0,0.0,-0.8999999999999999,-1.2000000000000002,0.20000000000000018,-1.0000000000000004,-0.20000000000000107,-15.0,-0.30000000000001137,-3.1999999999999993,-51.0,-43.0,-49.0,-3.6999999999999957,-0.3999999999999999,-0.19999999999999996,0.10000000000000009,-0.8999999999999995,0.0,0.3999999999999999,-0.5,-88.0,-32.0,1.4,-57.0,76.0,27.639689922480613,-1.2999999999999998,0.40000000000000036,18.0,11.0,-1.2,-83.0,-137.0,-4.261042183622749,-0.09999999999999964,-0.5,-4.0,-30.0,9.299999999999999,493.0,303.0,164.79666666666665,-0.10000000000000009,0.7000000000000011,15.0,26.0,-4.199999999999999,-56.0,-122.0,-14.222394282310916,0.09999999999999964,-0.7,3.0,-19.0,1.7999999999999998,-15.0,68.0,-16.143333333333317,0
-4.0,1.3999999999999986,0.19999999999999996,-0.19999999999999996,-0.8000000000000003,-0.40000000000000036,0.5,3.0,-5.899999999999999,0.5,-22.0,145.0,56.0,-7.899999999999999,0.3999999999999999,0.19999999999999996,-0.3999999999999999,-0.09999999999999964,0.20000000000000018,3.0,8.899999999999991,1.8000000000000007,42.0,69.0,-5.0,-0.5,0.10000000000000009,0.10000000000000009,-0.10000000000000009,-0.10000000000000009,0.0,4.0,4.799999999999997,-1.3000000000000007,-68.0,-3.0,40.0,-1.2000000000000028,0.2999999999999998,-0.2999999999999998,-0.6000000000000001,-0.7000000000000002,0.40000000000000036,-1.0,3.299999999999997,-0.1999999999999993,-43.0,122.0,-4.0,1.3999999999999986,0.7,0.0,-0.8999999999999999,-0.10000000000000053,0.14000000000000012,0.5,-1.1999999999999993,9.0,-46.0,0.19999999999999973,-83.0,122.0,-52.384989858012204,-0.19999999999999973,-0.09999999999999964,-115.0,-3.0,7.3,84.0,326.0,-14.609848484848442,0.30000000000000027,-0.1999999999999993,122.0,-13.0,-1.2,-155.0,-57.0,51.49878934624701,-0.8000000000000003,0.7000000000000011,-215.0,21.0,-0.2999999999999998,-19.0,-162.0,78.53142857142859,3.6999999999999997,-0.29999999999999993,-48.0,5.0,0.40000000000000036,64.0,46.0,-39.651842751842764,0
49.0,3.0,-0.09999999999999964,0.3999999999999999,0.2999999999999998,0.2999999999999998,0.09999999999999964,13.0,4.100000000000001,2.3999999999999986,41.0,128.0,49.0,3.0,-0.6000000000000001,0.5,0.5,0.09999999999999964,-0.40000000000000036,9.0,5.799999999999997,1.299999999999999,27.0,-136.0,31.0,8.5,-1.7000000000000002,-0.3999999999999999,0.7999999999999998,0.6000000000000005,-0.5999999999999996,-13.0,-1.8999999999999986,-1.6999999999999993,-39.0,-56.0,52.0,2.200000000000003,-0.5,-0.09999999999999964,0.09999999999999987,-0.20000000000000018,0.3999999999999986,14.0,-1.7999999999999972,-2.8999999999999986,-72.0,-45.0,62.0,3.200000000000003,-1.3000000000000007,0.10000000000000009,0.5,0.09999999999999964,-0.1499999999999999,-0.20000000000000018,0.20000000000000107,-18.0,-5.0,11.5,413.0,278.0,-27.70420168067227,-0.2999999999999998,0.8000000000000007,33.0,39.0,8.5,267.0,254.0,54.4224242424242,0.2999999999999998,-2.6999999999999993,-212.0,-76.0,-8.4,-220.0,-94.0,-40.50839160839155,-1.0,-1.0,-180.0,-10.0,-0.20000000000000007,417.0,42.0,5.318333333333385,-0.7999999999999998,0.5,3.0,9.0,-5.0,-66.0,-40.0,-20.725942350332588,0
44.0,41.50000000000001,2.5,0.7999999999999998,-0.9999999999999998,1.6999999999999997,0.40000000000000036,41.0,5.799999999999997,-0.09999999999999787,32.0,729.0,44.0,41.50000000000001,2.7,0.4999999999999998,-0.8999999999999999,2.5,0.5,26.0,2.3999999999999915,1.0,34.0,266.0,60.0,42.800000000000004,3.0999999999999996,0.7000000000000002,-1.2,1.6000000000000005,0.29999999999999893,27.0,5.699999999999996,-2.400000000000002,-31.0,255.0,93.0,36.800000000000004,4.6,0.9000000000000004,-1.8,0.7999999999999998,0.20000000000000107,39.0,-1.7000000000000028,0.3999999999999986,17.0,502.0,44.0,41.50000000000001,0.9999999999999996,-0.19999999999999996,-0.19999999999999973,1.8000000000000007,0.10999999999999988,-0.5,1.1999999999999993,-9.0,46.0,-0.19999999999999973,83.0,-122.0,73.53852941176473,0.7000000000000002,0.6000000000000005,64.0,28.0,6.5,308.0,158.0,34.333928571428544,-1.2000000000000002,-2.4000000000000004,-72.0,-49.0,-4.0,-106.0,-223.0,-9.751999999999953,0.7999999999999998,0.9000000000000004,73.0,40.0,-3.4,-205.0,-3.0,75.74298642533938,0.7999999999999998,-0.5,-3.0,-9.0,5.0,66.0,40.0,28.051851851851865,0
19.0,-11.799999999999997,-0.5999999999999999,0.0,0.7000000000000002,-0.2999999999999998,-0.10000000000000142,3.0,10.899999999999999,0.5,10.0,198.0,-58.0,-2.3999999999999986,-1.1,-0.9000000000000001,0.5,-0.5,-0.39999999999999947,-16.0,-0.5999999999999943,0.3999999999999986,-23.0,82.0,-7.0,-9.699999999999996,0.09999999999999964,-0.30000000000000027,-0.5,-0.7000000000000002,-0.5999999999999996,-22.0,-1.3999999999999986,0.8000000000000007,26.0,-266.0,9.0,0.20000000000000284,-0.5,-1.1,-0.19999999999999973,-0.8000000000000003,-0.7000000000000011,-21.0,-5.700000000000003,-1.0999999999999979,-26.0,-240.0,2.0,-11.699999999999996,-1.2,-0.29999999999999993,0.6999999999999997,-1.5999999999999996,-0.27,0.6000000000000001,-0.1999999999999993,50.0,-15.0,0.6000000000000001,-84.0,128.0,11.865416666666647,0.2999999999999998,0.1999999999999993,-178.0,-7.0,1.4000000000000001,126.0,119.0,0.0854166666666174,-0.2999999999999998,-0.7000000000000011,110.0,-29.0,4.3,-171.0,-68.0,-11.176153846153852,0.20000000000000018,-0.7000000000000011,-100.0,31.0,3.6999999999999997,490.0,148.0,-41.99347826086955,-0.09999999999999964,0.7,-3.0,19.0,-1.7999999999999998,15.0,-68.0,34.517559523809524,1
44.0,39.900000000000006,1.4,0.5999999999999999,0.10000000000000009,2.9000000000000004,-0.5,25.0,4.0,-0.5,74.0,302.0,44.0,39.900000000000006,2.4000000000000004,1.2000000000000002,-0.5,2.0999999999999996,0.5,42.0,-7.8999999999999915,-0.6999999999999993,38.0,256.0,54.0,39.800000000000004,3.1999999999999997,0.8000000000000003,-0.5,2.6999999999999997,0.3999999999999986,41.0,0.7999999999999972,0.0,102.0,511.0,44.0,39.900000000000006,3.3,2.6,-0.3999999999999999,1.6999999999999997,0.5999999999999996,61.0,4.900000000000006,0.5,108.0,371.0,44.0,39.900000000000006,2.8,0.29999999999999993,-0.5,4.0,0.0,0.5,-0.9000000000000004,-217.0,-40.0,-6.7,-186.0,-20.0,15.810602910602938,2.1000000000000005,-0.5999999999999996,-120.0,-6.0,2.4000000000000004,73.0,137.0,-4.807499999999948,0.2999999999999998,0.5,-59.0,44.0,-2.4,319.0,-91.0,71.68617305976795,0.8999999999999999,0.1999999999999993,58.0,14.0,0.7999999999999999,-149.0,119.0,49.935238095238105,0.20000000000000018,5.9,343.0,117.0,-2.5,-83.0,8.0,-37.53442982456136,0
46.0,34.900000000000006,2.0,0.09999999999999964,-0.5999999999999999,1.9999999999999996,-0.20000000000000107,10.0,-1.9000000000000057,0.6999999999999993,-6.0,70.0,46.0,34.900000000000006,2.1000000000000005,0.6999999999999997,-0.3999999999999999,2.0999999999999996,0.20000000000000018,22.0,-0.4000000000000057,1.200000000000001,17.0,90.0,46.0,34.900000000000006,3.0999999999999996,1.0,-0.9000000000000001,1.9000000000000004,-0.3000000000000007,11.0,4.0,-3.0,-69.0,174.0,46.0,34.900000000000006,4.9,1.9000000000000004,-1.7,1.1999999999999997,0.6000000000000014,63.0,4.400000000000006,3.6999999999999993,61.0,383.0,87.0,29.300000000000004,1.4999999999999996,-0.09999999999999998,-0.6000000000000001,2.0,-0.3700000000000001,-0.6000000000000001,0.7000000000000011,70.0,27.0,10.1,470.0,202.0,-0.9288441513363637,0.5,-0.40000000000000036,-39.0,-6.0,4.4,121.0,66.0,91.36656716417906,-0.8000000000000003,-1.5,-141.0,-51.0,-6.499999999999999,-301.0,-256.0,-9.538333333333355,-0.8999999999999999,-0.1999999999999993,-58.0,-14.0,-0.7999999999999999,149.0,-119.0,40.17025862068965,-0.40000000000000036,-0.8,-14.0,-20.0,-0.7999999999999999,-24.0,23.0,-0.20992857142857702,0
41.0,27.6,1.3,0.10000000000000009,-0.5,1.9000000000000004,-0.2999999999999998,0.0,2.5,-1.6999999999999993,63.0,-185.0,37.0,25.0,1.5999999999999999,0.7999999999999998,-0.8000000000000003,1.7000000000000002,-0.1999999999999993,7.0,2.299999999999997,-1.5,15.0,94.0,41.0,27.6,1.9000000000000004,1.5,-0.5999999999999999,0.7000000000000002,1.299999999999999,62.0,1.7000000000000028,0.5999999999999979,110.0,412.0,59.0,24.4,1.4,1.0,-0.19999999999999973,1.4,-0.3000000000000007,6.0,7.100000000000001,3.5,154.0,317.0,46.0,27.200000000000003,0.5,0.09999999999999998,0.3999999999999999,2.3,0.18999999999999995,0.5999999999999996,-1.0999999999999996,-107.0,-54.0,-17.3,-723.0,-411.0,-45.868727598566295,-1.0,-0.09999999999999964,-59.0,-12.0,4.6,-37.0,126.0,-5.213037037037054,1.3000000000000003,-0.5999999999999996,-133.0,-18.0,-5.3,-102.0,-159.0,18.67448706512039,-0.5999999999999996,-0.5,-22.0,-14.0,-0.19999999999999996,51.0,119.0,-5.383984962405918,1.1,-1.4999999999999998,-9.0,-11.0,-3.8000000000000003,173.0,31.0,0,0
87.0,12.899999999999999,0.19999999999999973,0.8000000000000003,0.30000000000000027,0.6000000000000005,0.09999999999999964,25.0,4.0,2.900000000000002,41.0,64.0,27.0,13.599999999999994,0.9000000000000004,0.7000000000000002,-0.20000000000000018,0.5,0.20000000000000018,26.0,0.7999999999999972,-1.299999999999999,-9.0,202.0,27.0,13.599999999999994,-0.9000000000000004,0.10000000000000009,0.40000000000000013,0.09999999999999964,-0.1999999999999993,10.0,-4.599999999999994,0.09999999999999787,22.0,36.0,27.0,13.599999999999994,0.0,0.0,0.19999999999999996,0.8000000000000007,0.40000000000000036,25.0,-3.5999999999999943,-2.6999999999999993,-25.0,256.0,32.0,11.799999999999997,-0.2999999999999998,0.19999999999999996,0.30000000000000027,0.29999999999999893,-0.26000000000000023,0.19999999999999973,0.40000000000000036,-13.0,-3.0,-2.000000000000001,-264.0,-59.0,-11.824313725490185,0.7999999999999998,-0.10000000000000053,17.0,9.0,-5.2,-14.0,-143.0,306.53000000000003,1.3000000000000003,-0.5999999999999996,-133.0,-18.0,-5.3,-102.0,-159.0,-13.497931034482747,-1.4,-1.0,-149.0,-9.0,-1.9,59.0,25.0,26.089411764705858,-3.5000000000000004,0.9000000000000001,-122.0,0.0,15.100000000000001,131.0,-244.0,18.200871670702156,0
10.0,26.0,0.5,-0.20000000000000018,-0.10000000000000009,0.8999999999999995,-0.1999999999999993,10.0,-2.6000000000000014,1.0,70.0,69.0,12.0,26.200000000000003,1.5,0.3999999999999999,-0.4999999999999998,0.5999999999999996,0.39999999999999947,22.0,-0.20000000000000284,-1.8000000000000007,-5.0,77.0,46.0,19.5,3.0999999999999996,1.1999999999999997,-1.0,-0.8000000000000007,1.1000000000000014,54.0,-1.7999999999999972,0.8000000000000007,55.0,386.0,9.0,26.700000000000003,2.1000000000000005,0.5,-0.40000000000000013,0.7000000000000002,-0.20000000000000107,12.0,-0.5,-0.5,52.0,282.0,9.0,26.700000000000003,0.8999999999999999,-0.20000000000000007,-0.3999999999999999,1.1999999999999993,-0.18000000000000016,-0.3999999999999999,1.5999999999999996,113.0,56.0,12.3,370.0,180.0,44.18105263157895,0.7999999999999998,-2.8000000000000003,37.0,-55.0,-0.6000000000000001,359.0,267.0,-15.077419354838696,-1.3000000000000003,0.5999999999999996,133.0,18.0,5.3,102.0,159.0,49.42686025408352,-1.4,-1.4000000000000004,-21.0,-38.0,-10.2,-238.0,-106.0,-73.39272727272731,1.6000000000000005,-0.49999999999999994,143.0,0.0,-9.100000000000001,-103.0,256.0,39.141224489795945,0
-20.0,-8.699999999999996,0.0,0.10000000000000009,-0.5,-1.2999999999999998,1.0000000000000009,24.0,-4.5,-1.1000000000000014,-59.0,359.0,-13.0,-12.0,-0.20000000000000018,-0.4999999999999998,-0.20000000000000018,-0.8000000000000007,-0.20000000000000018,-19.0,-3.3000000000000114,-1.0999999999999996,-49.0,66.0,-8.0,-10.600000000000001,0.2999999999999998,0.09999999999999964,-0.19999999999999973,-0.10000000000000053,0.0,4.0,3.8999999999999915,2.6999999999999993,-7.0,272.0,26.0,-20.5,-1.6999999999999997,-2.0000000000000004,0.19999999999999996,-0.40000000000000036,-0.5999999999999996,-49.0,-1.7000000000000028,-2.3999999999999986,-145.0,-475.0,-10.0,-9.600000000000001,-0.2999999999999998,0.09999999999999998,-0.10000000000000009,-1.1999999999999993,0.3500000000000001,0.10000000000000009,1.4999999999999991,88.0,62.0,11.4,334.0,106.0,65.09435897435895,-0.5,0.40000000000000036,61.0,20.0,1.5,30.0,51.0,-260.6117647058823,0.19999999999999973,1.2999999999999998,135.0,28.0,9.0,222.0,105.0,-10.997601199400322,-1.5,-0.9000000000000004,-69.0,-39.0,2.2,55.0,42.0,-31.526932084309124,-3.5000000000000004,1.0,-152.0,0.0,14.5,144.0,-246.0,15.861363636363649,1
-6.0,9.100000000000001,0.9000000000000001,0.6000000000000001,-0.2999999999999998,1.0999999999999996,0.3000000000000007,21.0,2.799999999999997,1.3999999999999986,73.0,186.0,2.0,7.700000000000003,1.3,0.8999999999999999,-0.7000000000000002,0.8999999999999995,-0.1999999999999993,5.0,2.299999999999997,-0.7000000000000011,1.0,277.0,-7.0,8.399999999999999,0.7000000000000002,0.6000000000000001,-0.19999999999999973,0.6000000000000005,0.5999999999999996,26.0,-1.1000000000000014,1.3000000000000007,62.0,193.0,15.0,3.8999999999999986,0.19999999999999973,0.10000000000000009,0.20000000000000018,0.8999999999999999,-1.0999999999999996,-30.0,0.6999999999999957,-0.8999999999999986,11.0,-19.0,-65.0,14.700000000000003,0.8000000000000003,0.0,0.19999999999999973,2.8000000000000007,0.11999999999999966,-0.30000000000000027,1.4999999999999991,-15.0,50.0,21.700000000000003,783.0,328.0,61.60961538461544,-0.7000000000000002,0.20000000000000018,19.0,17.0,0.8999999999999999,-21.0,34.0,2.06818181818187,1.3000000000000003,0.40000000000000036,29.0,3.0,6.300000000000001,209.0,147.0,50.479901960784275,-0.09999999999999964,0.5,70.0,9.0,-2.2,-38.0,-15.0,-52.20173913043476,-0.2999999999999998,0.10000000000000009,49.0,10.0,-1.4000000000000004,89.0,91.0,-200.64,0
32.0,5.600000000000001,0.20000000000000018,-0.6000000000000001,-0.30000000000000027,0.20000000000000018,-0.7000000000000002,-23.0,-3.0,1.3000000000000007,57.0,-284.0,23.0,3.8999999999999986,-0.30000000000000027,0.19999999999999973,0.10000000000000009,-0.2999999999999998,0.0,-1.0,1.0999999999999943,-1.0999999999999996,-7.0,-141.0,70.0,-0.3999999999999986,0.7000000000000002,0.7999999999999998,-0.5999999999999999,-1.6000000000000005,0.5,21.0,-2.0999999999999943,-0.5,7.0,124.0,32.0,6.399999999999999,-0.5999999999999996,-0.6000000000000001,0.30000000000000004,0.5999999999999996,-0.7000000000000011,-24.0,-1.0999999999999943,-1.0,15.0,25.0,32.0,5.600000000000001,-0.6000000000000001,-0.10000000000000009,0.3999999999999999,-0.10000000000000053,-0.1299999999999999,0.30000000000000027,-1.4999999999999991,15.0,-50.0,-21.700000000000003,-783.0,-328.0,-71.62976782752901,0.20000000000000018,0.5999999999999996,75.0,24.0,1.7999999999999998,143.0,100.0,16.248593350383658,-1.3000000000000003,-0.40000000000000036,-29.0,-3.0,-6.300000000000001,-209.0,-147.0,25.57840755735498,0.5999999999999996,0.5,22.0,14.0,0.19999999999999996,-51.0,-119.0,-8.844827586206918,0.8999999999999999,-1.0999999999999999,-33.0,-14.0,4.4,154.0,-60.0,207.70731707317074,1
-49.0,-26.9,-0.8999999999999999,-1.4000000000000001,0.19999999999999973,-0.40000000000000036,-0.7999999999999998,-63.0,-1.3999999999999986,-3.1999999999999993,-123.0,-1036.0,-49.0,-26.9,-2.0,-0.9000000000000004,0.7000000000000002,-1.0999999999999996,-0.39999999999999947,-39.0,3.4000000000000057,0.09999999999999964,-36.0,-498.0,-49.0,-26.9,-0.8999999999999995,-0.2999999999999998,0.19999999999999973,-0.7999999999999998,0.5,-11.0,6.700000000000003,3.6000000000000014,19.0,-353.0,-86.0,-15.699999999999996,0.09999999999999964,0.6000000000000005,-0.09999999999999987,-0.9000000000000004,0.5999999999999996,4.0,4.0,3.5,65.0,-158.0,-47.0,-27.9,-1.9000000000000004,-0.5,0.6999999999999997,-1.5,0.14000000000000012,-0.5,0.10000000000000053,21.0,-4.0,-3.500000000000001,-219.0,-61.0,23.77333333333334,-0.2999999999999998,-0.2999999999999998,-114.0,-27.0,-6.300000000000001,-395.0,-209.0,150.51363636363635,1.3000000000000003,-0.5999999999999996,-133.0,-18.0,-5.3,-102.0,-159.0,-37.152087114337576,-0.09999999999999964,0.5,70.0,9.0,-2.2,-38.0,-15.0,-22.09062499999999,-1.9,0.40000000000000013,21.0,0.0,6.0,28.0,12.0,-3.434303697875663,0
33.0,36.3,0.8999999999999999,0.5999999999999999,0.20000000000000018,1.8999999999999995,0.0,28.0,4.5,2.0,140.0,344.0,25.0,40.300000000000004,2.4000000000000004,0.8,-0.7,1.7000000000000002,0.5999999999999996,39.0,-3.5999999999999943,-1.3000000000000007,39.0,210.0,19.0,37.7,3.3,1.0,-0.7000000000000002,1.0,0.9000000000000004,49.0,-4.8999999999999915,-3.3000000000000007,67.0,324.0,23.0,37.6,3.1,1.8000000000000003,-0.6000000000000001,0.8000000000000007,0.09999999999999964,43.0,-0.20000000000000284,2.3999999999999986,167.0,575.0,20.0,38.900000000000006,1.7999999999999998,0.0,-0.5999999999999996,2.6999999999999993,-0.4500000000000002,0.5,0.4999999999999991,-41.0,19.0,-3.5,-176.0,-72.0,50.0,-0.8999999999999999,-0.20000000000000018,-10.0,-13.0,0.3999999999999999,-158.0,-41.0,341.9659574468085,0.6000000000000001,-1.2999999999999998,-102.0,-32.0,-2.9000000000000004,-10.0,-64.0,25.7978132884777,0.6000000000000001,0.5,-96.0,39.0,6.799999999999999,461.0,181.0,36.121087928465045,0.0,-0.09999999999999987,69.0,3.0,1.1,-6.0,-17.0,-109.48636363636365,0
-38.0,-15.5,-0.3999999999999999,0.0,0.10000000000000009,-0.7000000000000002,0.39999999999999947,5.0,0.3999999999999986,2.3000000000000007,-39.0,230.0,-26.0,-14.299999999999997,-0.7999999999999998,-0.5,0.30000000000000027,-0.6000000000000005,-0.9000000000000004,-32.0,-0.7000000000000028,-1.200000000000001,-55.0,-313.0,-38.0,-15.5,0.1999999999999993,-1.0,-0.19999999999999996,0.2999999999999998,-0.5,-32.0,4.099999999999994,0.20000000000000284,-80.0,-169.0,-38.0,-16.299999999999997,0.20000000000000018,-0.20000000000000018,-0.30000000000000004,-0.5999999999999996,-0.09999999999999964,-11.0,1.0999999999999943,-0.6000000000000014,-95.0,-188.0,-112.0,-26.8,-0.5999999999999996,0.10000000000000009,-0.3999999999999999,-2.8999999999999995,-0.3200000000000003,0.6999999999999997,0.2999999999999998,-34.0,1.0,1.5,-45.0,2.0,-24.847584541062815,0.6999999999999997,0.0,-32.0,10.0,-1.0,107.0,24.0,0,-0.7000000000000002,0.0,96.0,9.0,-2.7,-122.0,-48.0,-48.46611842105261,0.09999999999999964,-0.5,-70.0,-9.0,2.2,38.0,15.0,-22.065607580824974,-0.5,0.5,25.0,7.0,6.8,70.0,0.0,11.218589743589746,1
-61.0,-38.199999999999996,-0.6999999999999997,-0.6000000000000001,-0.10000000000000009,-1.3000000000000007,0.3000000000000007,-23.0,-1.5,1.0999999999999979,-45.0,-315.0,-61.0,-38.199999999999996,-1.9,-0.7000000000000002,0.5,-1.9000000000000004,-0.39999999999999947,-44.0,-2.200000000000003,-0.8000000000000007,-62.0,-257.0,-62.0,-38.9,-0.8999999999999995,-0.5,0.10000000000000009,-0.7999999999999998,0.09999999999999964,-27.0,2.6000000000000014,2.400000000000002,-17.0,-238.0,-58.0,-39.4,-2.4000000000000004,-1.5999999999999996,0.6000000000000001,-1.1000000000000005,-1.1999999999999993,-74.0,-4.900000000000006,-1.3999999999999986,-93.0,-651.0,-125.0,-32.199999999999996,-1.6,-0.4,0.5999999999999996,-0.7999999999999989,0.020000000000000018,0.20000000000000018,0.6999999999999993,55.0,8.0,9.2,283.0,134.0,-12.879411764705821,1.0,0.09999999999999964,59.0,12.0,-4.6,37.0,-126.0,-58.48872180451127,1.1,-1.6999999999999993,-256.0,-58.0,-13.100000000000001,-565.0,-364.0,-131.43103448275858,-1.2000000000000002,-1.0,-150.0,-26.0,2.3,135.0,44.0,-18.868376068376108,-1.0,-0.19999999999999996,-14.0,-8.0,-3.6,-63.0,0.0,-11.54586466165415,1
3.0,1.6000000000000014,0.3999999999999999,0.9000000000000001,-0.19999999999999973,-0.2999999999999998,1.2000000000000002,42.0,2.6000000000000014,-0.10000000000000142,11.0,634.0,0.0,2.1000000000000014,0.7000000000000002,-0.09999999999999964,-0.40000000000000036,0.2999999999999998,0.0,-2.0,-6.700000000000003,-0.5999999999999996,-5.0,199.0,-35.0,7.600000000000001,0.5,-0.10000000000000009,0.10000000000000009,1.7000000000000002,-0.20000000000000107,-1.0,0.7999999999999972,-1.4000000000000021,5.0,210.0,40.0,-9.600000000000001,-0.7000000000000002,-0.7000000000000002,0.0,-0.2999999999999998,-0.29999999999999893,-18.0,-1.4000000000000057,0.5,-30.0,-182.0,1.0,2.6000000000000014,0.6000000000000001,0.30000000000000004,-0.2999999999999998,0.3000000000000007,0.08000000000000007,0.6999999999999997,-2.799999999999999,-219.0,-56.0,-6.5,-144.0,-117.0,-305.15,-0.09999999999999964,0.9000000000000004,115.0,42.0,4.9,286.0,223.0,143.36488095238093,1.3000000000000003,0.40000000000000036,29.0,3.0,6.300000000000001,209.0,147.0,2.131760435571664,0.09999999999999964,-0.5,-70.0,-9.0,2.2,38.0,15.0,47.120000000000005,0.2999999999999998,-0.10000000000000009,-49.0,-10.0,1.4000000000000004,-89.0,-91.0,193.11999999999998,1
14.0,-11.700000000000003,-0.7,0.09999999999999987,0.5,-0.7000000000000002,-0.20000000000000107,-5.0,1.6000000000000014,4.0,64.0,176.0,-1.0,-7.0,-0.9999999999999998,-0.19999999999999996,0.7000000000000002,-0.8999999999999995,0.39999999999999947,9.0,-4.599999999999994,0.9000000000000004,22.0,-102.0,2.0,-9.799999999999997,-1.0,-0.8999999999999999,0.2999999999999998,-0.5,-1.0,-46.0,-6.8999999999999915,-5.199999999999999,-91.0,-350.0,-66.0,-27.0,-1.6,-0.7999999999999998,0.2999999999999998,-1.3999999999999995,-0.40000000000000036,-30.0,-4.5,-1.5,-97.0,-460.0,-3.0,-9.399999999999999,-0.20000000000000018,0.0,-0.19999999999999973,-0.9000000000000004,-0.5899999999999999,0.5999999999999996,0.3000000000000007,159.0,52.0,-4.3,141.0,-168.0,-4.961458333333269,0.7999999999999998,-0.5,-16.0,-12.0,-6.4,-106.0,-226.0,-16.952371541501975,1.5,0.3000000000000007,60.0,21.0,0.7,89.0,94.0,-3.3770750988142026,0.3999999999999999,0.5,-92.0,-26.0,4.299999999999999,-181.0,91.0,36.45833333333337,0.0,-0.09999999999999987,69.0,3.0,1.1,-6.0,-17.0,-15.713636363636368,0
